Name,Latitude,Longitude,Line,Time
Małopanewska,51.12389408,16.98746677,33,05:28:00
Niedźwiedzia,51.12148282,16.99341779,33,05:30:00
ZACHODNIA (Stacja kolejowa),51.11662833,17.0003626,33,05:33:00
pl. Strzegomski (Muzeum Współczesne),51.11314781,17.00696258,33,05:35:00
Młodych Techników,51.11287502,17.01193508,33,05:36:00
PL. JANA PAWŁA II,51.112085,17.02048757,33,05:38:00
Rynek,51.111912,17.027184,33,05:40:00
Zamkowa,51.10788512,17.02971101,33,05:41:00
Świdnicka,51.10743255,17.0327321,33,05:43:00
GALERIA DOMINIKAŃSKA,51.10670852,17.03827095,33,05:46:00
Urząd Wojewódzki (Impart),51.10852219,17.05022,33,05:49:00
most Grunwaldzki,51.11013606,17.05509252,33,05:50:00
PL. GRUNWALDZKI,51.11170028,17.06043151,33,05:52:00
