Name,Latitude,Longitude,Line,Time
Niedźwiedzia,51.12148282,16.99341779,102,15:43:00
Głogowska,51.11769599,17.00402456,102,15:46:00
Szczepin,51.11763765,17.00648374,102,15:48:00
Inowrocławska,51.11543774,17.01528869,102,15:49:00
PL. SOLIDARNOŚCI,51.11340959,17.01796144,102,15:51:00
PL. JANA PAWŁA II,51.112085,17.02048757,102,15:55:00
Dmowskiego,51.11698989,17.02566254,15,15:58:00
Pomorska,51.11789543,17.03089346,15,16:00:00
pl. Bema,51.11697824,17.04336914,C ,16:11:00
Katedra,51.11419938,17.05079812,C ,16:14:00
PL. GRUNWALDZKI,51.11170028,17.06043151,C ,16:17:00
