Name,Latitude,Longitude,Line,Time
Małopanewska,51.12389408,16.98746677,10,15:39:00
Niedźwiedzia,51.12148282,16.99341779,10,15:41:00
ZACHODNIA (Stacja kolejowa),51.11662833,17.0003626,10,15:44:00
pl. Strzegomski (Muzeum Współczesne),51.11314781,17.00696258,10,15:46:00
Młodych Techników,51.11287502,17.01193508,10,15:47:00
PL. JANA PAWŁA II,51.112085,17.02048757,10,15:49:00
Rynek,51.111912,17.027184,10,15:52:00
Zamkowa,51.10788512,17.02971101,10,15:53:00
Świdnicka,51.10743255,17.0327321,10,15:55:00
GALERIA DOMINIKAŃSKA,51.10670852,17.03827095,K,15:58:00
Urząd Wojewódzki (Impart),51.10852219,17.05022,4,16:02:00
most Grunwaldzki,51.11013606,17.05509252,4,16:03:00
PL. GRUNWALDZKI,51.11170028,17.06043151,4,16:05:00
