Name,Latitude,Longitude,Line,Time
Połabian,51.05671431,16.97131836,133,15:45:00
Słoneczna,51.05974578,16.97456359,133,15:46:00
Marcepanowa,51.06236528,16.97639315,133,15:47:00
WAŁBRZYSKA,51.06489636,16.97613239,133,15:49:00
Kościelna,51.06369661,16.981382,133,15:51:00
KLECINA,51.06533765,16.98675365,133,15:53:00
Sąsiedzka,51.06660079,16.99360084,17,15:54:00
Braterska,51.06767574,16.99920898,17,15:55:00
Przyjaźni,51.06854633,17.00328255,17,15:56:00
Radio i Telewizja,51.07155184,17.00574359,17,15:57:00
KRZYKI,51.07488366,17.00656861,17,15:59:00
Hallera,51.08713869,17.01249942,602,16:03:00
DWORZEC GŁÓWNY,51.099621,17.035193,602,16:11:00
Wzgórze Partyzantów,51.10378692,17.03849027,2,16:13:00
GALERIA DOMINIKAŃSKA,51.10670852,17.03827095,2,16:16:00
Urząd Wojewódzki (Muzeum Narodowe),51.11044991,17.04858192,2,16:19:00
Katedra,51.11419938,17.05079812,2,16:20:00
Ogród Botaniczny,51.11715674,17.05147222,A,16:23:00
Wyszyńskiego,51.1227988,17.0528858,A,16:25:00
Damrota,51.12648854,17.0548761,A,16:26:00
KROMERA,51.13237794,17.06301095,A,16:31:00
Kętrzyńska,51.13087796,17.07448225,11,16:33:00
Kwidzyńska,51.13058531,17.07833767,11,16:34:00
Gęsia,51.13184923,17.08816611,11,16:35:00
Bociania,51.12973225,17.09805406,11,16:37:00
KOWALE,51.12781419,17.10219214,11,16:38:00
